Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:67', 'Acanthocephala')",1.0,-1.0,-0.6666666666666666,-1.0
"('GBIF:5967481', 'Nematoda')",1.0,-0.2222222222222222,-0.1382495590828924,-0.3888888888888889
"('GBIF:41', 'Euglenozoa')",1.0,0.0,-0.225,-1.0
"('GBIF:32', 'Oomycota')",1.0,-0.3333333333333333,0.009920634920634941,0.3333333333333333
"('GBIF:8376456', 'Foraminifera')",1.0,1.0,-0.06657088122605363,0.0
"('GBIF:94', 'Chytridiomycota')",1.0,0.0,0.0,-1.0
"('GBIF:36', 'Chlorophyta')",1.0,0.1,-0.08333333333333333,-0.6
"('GBIF:106', 'Rhodophyta')",1.0,-0.1,-0.17095238095238097,-0.2
"('GBIF:10791940', 'Entomophthoromycota')",1.0,-0.3333333333333333,-0.22499999999999998,-0.3333333333333333
"('GBIF:91', 'Rotifera')",1.0,-1.0,-0.4,-1.0
