Node,Betweenness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:2436435', 'Homo')",0.07593393488187719,0.1511627906976744,-0.1694034486185649,-0.3023255813953488
"('GBIF:2877951', 'Quercus')",0.04774043131014843,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:1522683', 'Drosophila')",0.04470775831947191,0.09183673469387756,-0.20089321442862862,-0.17346938775510204
"('GBIF:2356953', 'Lutjanus')",0.03991372102540882,0.045454545454545456,-0.1443017113605349,-0.3787878787878788
"('GBIF:2347608', 'Salmo')",0.03889622640919463,-0.06382978723404255,-0.27006320578518594,-0.2872340425531915
"('GBIF:2684241', 'Pinus')",0.037606153343610935,0.013888888888888888,-0.2874739718796091,-0.3263888888888889
"('GBIF:11397237', 'Euphorbia')",0.03663301276815528,0.125,-0.1683429621848739,-0.1875
"('GBIF:2351426', 'Oncorhynchus')",0.03328538687550675,0.0,-0.28119747899159664,-0.5882352941176471
"('GBIF:2346676', 'Clupea')",0.029610965551549174,0.017241379310344827,-0.2576429548783889,-0.3793103448275862
"('GBIF:8326529', 'Ixodes')",0.02721509345025074,0.21,-0.20688159063159062,-0.58
