Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:94', 'Chytridiomycota')",27.5,0.0,0.0,-1.0
"('GBIF:91', 'Rotifera')",27.5,-1.0,-0.4,-1.0
"('GBIF:12238325', 'Mucoromycota')",26.0,1.0,0.2,-1.0
"('GBIF:7501587', 'Microsporidia')",26.0,1.0,-0.1428571428571428,-1.0
"('GBIF:10844503', 'Campylobacterota')",23.0,1.0,-0.5,1.0
"('GBIF:8376456', 'Foraminifera')",22.333333333333332,1.0,-0.06657088122605363,0.0
"('GBIF:36', 'Chlorophyta')",22.333333333333332,0.1,-0.08333333333333333,-0.6
"('GBIF:10791940', 'Entomophthoromycota')",22.2,-0.3333333333333333,-0.22499999999999998,-0.3333333333333333
"('GBIF:10813635', 'Actinobacteriota')",20.5,-0.5,-0.5357142857142857,-1.0
"('GBIF:67', 'Acanthocephala')",20.0,-1.0,-0.6666666666666666,-1.0
