Node,Eigenvector_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:3112554', 'Cirsium')",0.11031598670689177,0.6333333333333333,-0.19136724386724382,-0.6
"('GBIF:2704173', 'Poa')",0.1059457968307053,0.23809523809523808,-0.09506802721088435,-0.09523809523809523
"('GBIF:2877951', 'Quercus')",0.10383452716635802,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:2988638', 'Rubus')",0.10375150390927852,0.55,-0.4444905094905095,-0.8
"('GBIF:2874237', 'Viola')",0.10294227237457863,1.0,-0.1658397974574445,-0.5833333333333334
"('GBIF:11397237', 'Euphorbia')",0.10287625660940898,0.125,-0.1683429621848739,-0.1875
"('GBIF:2926553', 'Prunella')",0.10017364545504404,0.5833333333333334,-0.3262973137973138,-0.6666666666666666
"('GBIF:3189452', 'Hypericum')",0.09880123258418631,0.3,-0.33309523809523806,-0.4
"('GBIF:3161935', 'Campanula')",0.09860872448827515,0.3333333333333333,-0.3282814407814408,-0.6666666666666666
"('GBIF:2913027', 'Galium')",0.09769112474112848,0.6666666666666666,-0.10049603174603172,-0.3333333333333333
