Node,Eigenvector_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:220', 'Magnoliopsida')",0.3489471868782159,-0.06934306569343066,-0.2749163290586222,-0.35036496350364965
"('GBIF:196', 'Liliopsida')",0.29335369870138306,0.04716981132075472,-0.2617818190291663,-0.3632075471698113
"('GBIF:216', 'Insecta')",0.28635312173584077,0.006666666666666667,-0.24959295646624494,-0.44
"('GBIF:359', 'Mammalia')",0.28163639078607017,-0.01680672268907563,-0.3293290974995704,-0.42016806722689076
"('GBIF:194', 'Pinopsida')",0.25809710519762197,-0.11594202898550725,-0.3175822839186011,-0.2608695652173913
"('GBIF:212', 'Aves')",0.2531413448671969,-0.3333333333333333,-0.452367878544224,-0.5190476190476191
"('GBIF:225', 'Gastropoda')",0.21433167024292527,0.09090909090909091,-0.24294569067296337,-0.5454545454545454
"('GBIF:367', 'Arachnida')",0.20537017770664898,0.1,-0.22376957968502084,-0.3625
"('GBIF:229', 'Malacostraca')",0.19105762579863553,-0.36666666666666664,-0.5778463203463204,-0.9333333333333333
"('GBIF:131', 'Amphibia')",0.18014402813469563,-0.4583333333333333,-0.36026069518716586,-0.16666666666666666
