Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
L62,67.19642857142857,-0.07142857142857142,-0.2822714983429269,-0.42857142857142855
L59,67.04838709677419,0.0,-0.23307756463756535,-0.4166666666666667
L42,67.02,0.5,-0.0998015873015873,-0.25
L3,67.0,-0.0975609756097561,-0.3576788032954058,-0.5
L49,66.98333333333333,-0.02040816326530612,-0.22930157749456437,-0.336734693877551
L25,66.93548387096774,-0.10975609756097561,-0.26387468712952306,-0.08536585365853659
L65,66.91525423728814,-0.1206896551724138,-0.4364605985845898,-0.8275862068965517
L13,66.84905660377359,-0.08064516129032258,-0.2537389344789724,-0.41935483870967744
L28,66.83333333333333,0.11904761904761904,-0.2809237940190321,-0.44047619047619047
L44,66.72413793103448,-0.10344827586206896,-0.2976892838961805,-0.4482758620689655
