Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:282', 'Gnetopsida')",41.0,1.0,0.2083333333333333,1.0
"('GBIF:10860289', 'Campylobacteria')",41.0,1.0,-0.5,1.0
"('GBIF:7228684', 'Polypodiopsida')",32.0,1.0,-0.4423076923076923,-1.0
"('GBIF:186', 'Agaricomycetes')",31.25,-0.3333333333333333,-0.5952380952380952,-0.3333333333333333
"('GBIF:9796761', 'Mucoromycetes')",29.0,1.0,0.2,-1.0
"('GBIF:176', 'Cubozoa')",28.25,1.0,-0.3333333333333333,-1.0
"('GBIF:183', 'Dothideomycetes')",28.0,0.0,-0.12662337662337658,-0.25
"('GBIF:222', 'Holothuroidea')",26.0,1.0,-0.0714285714285714,1.0
"('GBIF:10792796', 'Candelariomycetes')",25.8,1.0,-0.5,-1.0
"('GBIF:178', 'Eurotiomycetes')",24.4,0.0,-0.6666666666666666,-1.0
