Node,Betweenness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:220', 'Magnoliopsida')",0.30995582494542046,-0.06934306569343066,-0.2749163290586222,-0.35036496350364965
"('GBIF:216', 'Insecta')",0.13716876747601764,0.006666666666666667,-0.24959295646624494,-0.44
"('GBIF:196', 'Liliopsida')",0.12233365897281288,0.04716981132075472,-0.2617818190291663,-0.3632075471698113
"('GBIF:359', 'Mammalia')",0.08174635888359688,-0.01680672268907563,-0.3293290974995704,-0.42016806722689076
"('GBIF:194', 'Pinopsida')",0.07294000836526086,-0.11594202898550725,-0.3175822839186011,-0.2608695652173913
"('GBIF:229', 'Malacostraca')",0.07132729157357387,-0.36666666666666664,-0.5778463203463204,-0.9333333333333333
"('GBIF:212', 'Aves')",0.06291282080501996,-0.3333333333333333,-0.452367878544224,-0.5190476190476191
"('GBIF:11592253', 'Squamata')",0.042309529866183665,-0.4166666666666667,-0.22186397480515127,-0.3333333333333333
"('GBIF:179', 'Leotiomycetes')",0.029421155650663826,-0.25,-0.3626488095238095,-0.625
"('GBIF:367', 'Arachnida')",0.02861401133618562,0.1,-0.22376957968502084,-0.3625
