Node,Degree_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:2436435', 'Homo')",0.1912656692276587,0.1511627906976744,-0.1694034486185649,-0.3023255813953488
"('GBIF:2877951', 'Quercus')",0.17509098261221187,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:11397237', 'Euphorbia')",0.1581075616659927,0.125,-0.1683429621848739,-0.1875
"('GBIF:2346676', 'Clupea')",0.13788920339668417,0.017241379310344827,-0.2576429548783889,-0.3793103448275862
"('GBIF:2684241', 'Pinus')",0.137484836231298,0.013888888888888888,-0.2874739718796091,-0.3263888888888889
"('GBIF:8326529', 'Ixodes')",0.137484836231298,0.21,-0.20688159063159062,-0.58
"('GBIF:1522683', 'Drosophila')",0.13546300040436715,0.09183673469387756,-0.20089321442862862,-0.17346938775510204
"('GBIF:3112554', 'Cirsium')",0.1338455317428225,0.6333333333333333,-0.19136724386724382,-0.6
"('GBIF:3020559', 'Prunus')",0.1322280630812778,0.018518518518518517,-0.37505871097825116,-0.42592592592592593
"('GBIF:2704173', 'Poa')",0.1265669227658714,0.23809523809523808,-0.09506802721088435,-0.09523809523809523
