Node,Strength,First Author Score,Team Score,Last Author Score
"('GBIF:2877951', 'Quercus')",1812,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:2684241', 'Pinus')",1264,0.013888888888888888,-0.2874739718796091,-0.3263888888888889
"('GBIF:8326529', 'Ixodes')",1206,0.21,-0.20688159063159062,-0.58
"('GBIF:2436435', 'Homo')",1184,0.1511627906976744,-0.1694034486185649,-0.3023255813953488
"('GBIF:2874875', 'Fagus')",1068,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:3112554', 'Cirsium')",1026,0.6333333333333333,-0.19136724386724382,-0.6
"('GBIF:11397237', 'Euphorbia')",1024,0.125,-0.1683429621848739,-0.1875
"('GBIF:2704173', 'Poa')",982,0.23809523809523808,-0.09506802721088435,-0.09523809523809523
"('GBIF:3020559', 'Prunus')",976,0.018518518518518517,-0.37505871097825116,-0.42592592592592593
"('GBIF:7606064', 'Picea')",972,-0.1,-0.3858259442082972,-0.45555555555555555
