Node,Degree_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:2436436', 'Homo sapiens')",0.151347267690758,0.17045454545454544,-0.17811317885331038,-0.3181818181818182
"('GBIF:2878688', 'Quercus robur')",0.1241500881390078,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:2882316', 'Fagus sylvatica')",0.11306975572903549,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:8351946', 'Clupea harengus')",0.10853689247041047,-0.017857142857142856,-0.25493972707642654,-0.35714285714285715
"('GBIF:5331916', 'Betula pendula')",0.09770838579702845,0.3235294117647059,-0.3831869399343448,-0.6764705882352942
"('GBIF:2704178', 'Poa pratensis')",0.09519012843112565,0.42857142857142855,-0.15739795918367344,-0.5714285714285714
"('GBIF:8208358', 'Plantago lanceolata')",0.09443465122135482,0.4230769230769231,-0.18621794871794872,-0.46153846153846156
"('GBIF:2705308', 'Dactylis glomerata')",0.0921682195920423,-0.029411764705882353,-0.23097572362278246,-0.47058823529411764
"('GBIF:3113414', 'Cirsium arvense')",0.09141274238227146,0.7083333333333334,-0.16827651515151518,-0.5
"('GBIF:5285637', 'Pinus sylvestris')",0.09065726517250063,0.1375,-0.33461584779599485,-0.3
