Node,Betweenness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:44', 'Chordata')",0.29559385795181253,-0.06962025316455696,-0.31084376298830935,-0.42857142857142855
"('GBIF:54', 'Arthropoda')",0.2662204430670339,0.015492957746478873,-0.2562300384296173,-0.4183098591549296
"('GBIF:7707728', 'Tracheophyta')",0.15575499311294766,-0.07683982683982683,-0.27238698590029786,-0.33874458874458874
"('GBIF:52', 'Mollusca')",0.0709237258953168,0.046875,-0.2148374215477727,-0.28125
"('GBIF:95', 'Ascomycota')",0.027039947636538542,0.06666666666666667,-0.21419733044733044,-0.18333333333333332
"('GBIF:111', 'Proteobacteria')",0.018693632756132755,0.3888888888888889,-0.34229370166870166,-0.6666666666666666
"('GBIF:98', 'Ochrophyta')",0.017600108225108227,-0.25,-0.3434734247234248,-0.2222222222222222
"('GBIF:42', 'Annelida')",0.005321067821067821,-0.6111111111111112,-0.5463898241676018,-0.1111111111111111
"('GBIF:43', 'Cnidaria')",0.004847582972582972,0.08333333333333333,-0.151849847683181,-0.2777777777777778
"('GBIF:87', 'Firmicutes')",0.0039571854912764,-0.5555555555555556,-0.31574074074074077,-0.16666666666666666
