Node,Degree_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:587', 'Perciformes')",0.47924528301886793,0.07425742574257425,-0.2350103691262536,-0.48514851485148514
"('GBIF:798', 'Primates')",0.41509433962264153,0.17592592592592593,-0.14727293248369125,-0.37962962962962965
"('GBIF:1313', 'Salmoniformes')",0.4,-0.007936507936507936,-0.2832764912343779,-0.373015873015873
"('GBIF:729', 'Passeriformes')",0.3471698113207547,-0.1631578947368421,-0.3778688465986912,-0.4789473684210526
"('GBIF:640', 'Pinales')",0.3471698113207547,0.02247191011235955,-0.30879849047767316,-0.33146067415730335
"('GBIF:731', 'Artiodactyla')",0.33962264150943394,0.1962025316455696,-0.273638706350748,-0.5506329113924051
"('GBIF:1370', 'Fabales')",0.33584905660377357,0.06470588235294118,-0.20223124777502707,-0.24705882352941178
"('GBIF:797', 'Lepidoptera')",0.33584905660377357,0.24305555555555555,-0.16603236012958236,-0.24305555555555555
"('GBIF:1457', 'Hymenoptera')",0.32452830188679244,0.09411764705882353,-0.19952574963468836,-0.5411764705882353
"('GBIF:538', 'Clupeiformes')",0.32452830188679244,0.1,-0.3232517649974546,-0.55
